Team,Priority component,Found in filepath
browse,TYPOGRAPHY,/src/components/ProductDetails/ReferenceIntakes/EnergyPerUnit/index.js
browse,TYPOGRAPHY,/src/components/ProductDetails/ReferenceIntakes/PortionInformation/index.js
browse,TYPOGRAPHY,/src/components/ProductDetails/ReferenceIntakes/Table/index.js
browse,TYPOGRAPHY,/src/components/ProductDetails/Statements/index.js
browse,TYPOGRAPHY,/src/components/ProductDetails/Usage/index.js
browse,TYPOGRAPHY,/src/components/ProductGrid/ProductGrid.js
browse,TYPOGRAPHY,/src/components/ProductPod/Attributes/index.js
browse,TYPOGRAPHY,/src/components/ProductPod/Badge/index.js
browse,TYPOGRAPHY,/src/components/ProductPod/Header/ProductPodHeader.js
browse,TYPOGRAPHY,/src/components/ProductPod/TrolleyChoices/TrolleyChoices.js
browse,TYPOGRAPHY,/src/components/ProductPodExperimental/Attributes/index.js
browse,TYPOGRAPHY,/src/components/ProductPodExperimental/Badge/index.js
browse,TYPOGRAPHY,/src/components/ProductPodExperimental/Header/index.js
browse,TYPOGRAPHY,/src/components/ProductPodExperimental/Image/index.js
browse,TYPOGRAPHY,/src/components/ProductPodExperimental/TrolleyChoices/index.js
browse,TYPOGRAPHY,/src/components/Search/AutoComplete/AutoComplete.js
browse,TYPOGRAPHY,/src/components/Search/AutoComplete/Highlight/index.js
browse,TYPOGRAPHY,/src/components/Search/Filters/FilterForm/index.js
browse,TYPOGRAPHY,/src/components/Search/Filters/FilterModal/index.js
browse,TYPOGRAPHY,/src/components/Search/Filters/FilterOptionLabel/index.js
browse,TYPOGRAPHY,/src/components/Search/Filters/FilterPanel/index.js
browse,TYPOGRAPHY,/src/components/Search/SearchHeader/SearchHeader.js
browse,TYPOGRAPHY,/src/components/Search/SearchHistory/index.js
browse,TYPOGRAPHY,/src/components/Search/SearchMeta/AlternativeSearchHeader/AlternativeSearchMetaHeader.js
browse,TYPOGRAPHY,/src/components/Search/SearchMeta/EmptyHeader/EmptySearchMetaHeader.js
browse,TYPOGRAPHY,/src/components/Search/SearchMeta/Header/SearchMetaHeader.js
browse,TYPOGRAPHY,/src/components/Search/SearchMeta/SearchTag/Editable/EditableSearchTag.js
browse,TYPOGRAPHY,/src/components/Search/SearchMeta/SearchTag/Static/index.js
browse,TYPOGRAPHY,/src/components/Search/SearchMeta/SearchTagList/SearchTagList.js
browse,TYPOGRAPHY,/src/components/Search/SuggestedTags/SuggestedTags.js
browse,TYPOGRAPHY,/src/components/ShoppingList/Count/ShoppingListCount.js
browse,TYPOGRAPHY,/src/components/ShoppingList/DeleteButton/ShoppingListDeleteButton.js
browse,TYPOGRAPHY,/src/components/ShoppingList/Header/ShoppingListHeader.js
browse,TYPOGRAPHY,/src/components/ShoppingLists/Card/ButtonPanel/index.js
browse,TYPOGRAPHY,/src/components/ShoppingLists/Card/Title/index.js
browse,TYPOGRAPHY,/src/components/SiteHeader/LinksBar/MyAccount/MyAccount.js
browse,TYPOGRAPHY,/src/components/SiteHeader/ShoppingSummary/ShoppingSummary.js
browse,TYPOGRAPHY,/src/components/SiteHeader/ShoppingSummary/ShoppingSummaryMobile/index.js
browse,TYPOGRAPHY,/src/components/SiteHeader/ShoppingSummary/SlotDetails/SlotDetails.js
browse,TYPOGRAPHY,/src/components/SiteHeader/ShoppingSummary/TrolleyInformation/TrolleyInformation.js
browse,TYPOGRAPHY,/src/components/SiteHeader/SiteHeaderLinks/MyAccountMenu/MyAccountMenu.js
browse,TYPOGRAPHY,/src/components/SiteHeader/SlideOutNav/MenuCard/MenuCard.js
browse,TYPOGRAPHY,/src/components/SiteHeader/SlideOutNav/MenuLink/MenuLink.js
browse,TYPOGRAPHY,/src/components/SiteHeader/SlideOutNav/SlideOutNav.js
browse,TYPOGRAPHY,/src/components/SiteHeader/SlotButton/SlotButton.js
browse,TYPOGRAPHY,/src/components/SiteSideBar/SiteSideBar.js
browse,TYPOGRAPHY,/src/components/SiteSideBar/SiteSideBarTab/SiteSideBarTab.js
browse,TYPOGRAPHY,/src/components/TrolleyActions/InitialQuantityForm/index.js
browse,TYPOGRAPHY,/src/components/TrolleyActions/PersonalisedProductTrolleyActions/PersonalisedProductTrolleyActions.js
browse,BUTTON,/src/components/AppBanner/index.js
browse,BUTTON,/src/components/BackToTop/index.js
browse,BUTTON,/src/components/Lists/CreateList/Button/index.js
browse,BUTTON,/src/components/MegaMenu/Menus/Menus.js
browse,BUTTON,/src/components/MultiSearch/Modal/MultiSearchModal.js
browse,BUTTON,/src/components/Product/Favourite/Favourite.js
browse,BUTTON,/src/components/Product/Image/index.js
browse,BUTTON,/src/components/ProductDetails/WriteReview/WriteReview.js
browse,BUTTON,/src/components/Search/SearchHistory/index.js
browse,BUTTON,/src/components/Search/SearchMeta/SearchTag/Editable/DeleteButton/SearchTagDeleteButton.js
browse,BUTTON,/src/components/Search/SuggestedTags/Tag/index.js
browse,BUTTON,/src/components/SiteHeader/LinksBar/DropDownNav/DropDownNav.js
browse,BUTTON,/src/components/SiteHeader/LinksBar/MyAccount/MyAccount.js
browse,BUTTON,/src/components/SiteHeader/MobileSearchResults/MobileSearchResults.js
browse,BUTTON,/src/components/SiteHeader/ShoppingSummary/ShoppingSummary.js
browse,BUTTON,/src/components/SiteHeader/ShoppingSummary/ShoppingSummaryMobile/index.js
browse,BUTTON,/src/components/SiteHeader/SiteHeader.js
browse,BUTTON,/src/components/SiteHeader/SiteHeaderBrowse/SiteHeaderBrowse.js
browse,BUTTON,/src/components/SiteHeader/SiteHeaderLinks/MyAccountMenu/MyAccountMenu.js
browse,BUTTON,/src/components/SiteHeader/SlideOutNav/MenuLink/MenuLink.js
browse,BUTTON,/src/components/SiteHeader/SlideOutNav/SlideOutNav.js
browse,BUTTON,/src/components/SitePinBar/SitePinBar.js
browse,BUTTON,/src/components/SiteSideBar/SiteSideBar.js
browse,BUTTON,/src/components/SiteSideBar/SiteSideBarTab/SiteSideBarTab.js
browse,ANCHOR_LINK,/src/components/AppBanner/index.js
browse,ANCHOR_LINK,/src/components/Breadcrumbs/BackButton/index.js
browse,ANCHOR_LINK,/src/components/Footer/AppLinks/index.js
browse,ANCHOR_LINK,/src/components/Footer/FooterBadges/index.js
browse,ANCHOR_LINK,/src/components/Footer/FooterLinkList/index.js
browse,ANCHOR_LINK,/src/components/Footer/SiteFooterMinimal/SiteFooterMinimal.js
browse,ANCHOR_LINK,/src/components/Footer/SiteLinks/SiteLinks.js
browse,ANCHOR_LINK,/src/components/Footer/SocialLinks/index.js
browse,ANCHOR_LINK,/src/components/HomePage/Header/Account/MyAccount/MyAccount.js
browse,ANCHOR_LINK,/src/components/HomePage/Header/Services/index.js
browse,ANCHOR_LINK,/src/components/ProductDetails/Disclaimer/index.js
browse,ANCHOR_LINK,/src/components/Search/Filters/FilterModal/index.js
browse,ANCHOR_LINK,/src/components/SiteHeader/LinksBar/index.js
browse,ANCHOR_LINK,/src/components/SiteHeader/SiteHeaderLinks/index.js
slots,TYPOGRAPHY,/src/components/BookSlot/Address/Address.js
slots,TYPOGRAPHY,/src/components/BookSlot/BookSlot.js
slots,TYPOGRAPHY,/src/components/BookSlot/CantEditSlotMessage/index.js
slots,TYPOGRAPHY,/src/components/BookSlot/CollectionBranchAddressPanel/CollectionBranchAddressPanel.js
slots,TYPOGRAPHY,/src/components/BookSlot/CollectionServiceSelector/CollectionServiceSelector.js
slots,TYPOGRAPHY,/src/components/BookSlot/DateRangeButtons/DateRangeButtons.js
slots,TYPOGRAPHY,/src/components/BookSlot/DeliveryCustomerAddressPanel/DeliveryCustomerAddressPanel.js
slots,TYPOGRAPHY,/src/components/BookSlot/ExpandCollapsePanel/ExpandCollapsePanel.js
